                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    151,                  1.176,                0.63011,                 1.0244,                0.93554,                0.92674,                0.96795,                 0.6668,                 1.1422,                0.51209,                 1.0004,               0.002575,               0.002575,               0.002575
                    152,                 1.1776,                0.63029,                 1.0249,                0.93593,                0.92695,                0.96769,                0.66689,                 1.1418,                 0.5117,                 1.0001,              0.0025255,              0.0025255,              0.0025255
                    153,                 1.1744,                 0.6305,                 1.0248,                0.93439,                0.92742,                0.96796,                0.66696,                 1.1414,                0.51127,                0.99986,               0.002476,               0.002476,               0.002476
                    154,                  1.173,                0.63027,                 1.0227,                0.93486,                0.92757,                0.96799,                0.66725,                 1.1407,                0.51087,                0.99961,              0.0024265,              0.0024265,              0.0024265
                    155,                 1.1682,                0.62555,                 1.0233,                0.93405,                0.92799,                 0.9683,                0.66756,                 1.1399,                0.51053,                0.99922,               0.002377,               0.002377,               0.002377
                    156,                 1.1674,                0.62371,                 1.0211,                0.93491,                0.92736,                 0.9681,                0.66804,                 1.1393,                0.51015,                0.99894,              0.0023275,              0.0023275,              0.0023275
                    157,                 1.1623,                0.62062,                 1.0199,                0.93552,                 0.9267,                 0.9679,                0.66806,                 1.1389,                0.50989,                0.99872,               0.002278,               0.002278,               0.002278
                    158,                 1.1594,                0.61925,                 1.0212,                0.93499,                0.92653,                0.96807,                0.66839,                 1.1383,                0.50951,                0.99844,              0.0022285,              0.0022285,              0.0022285
                    159,                 1.1616,                 0.6196,                 1.0214,                0.93495,                 0.9259,                0.96799,                0.66876,                 1.1375,                0.50895,                0.99797,               0.002179,               0.002179,               0.002179
                    160,                  1.161,                0.62062,                 1.0188,                0.93544,                0.92611,                0.96815,                0.66891,                  1.137,                0.50866,                0.99762,              0.0021295,              0.0021295,              0.0021295
                    161,                 1.1575,                0.61844,                   1.02,                0.93604,                0.92556,                0.96835,                0.66924,                 1.1365,                0.50827,                0.99741,                0.00208,                0.00208,                0.00208
                    162,                 1.1581,                0.61732,                 1.0196,                0.93636,                0.92569,                0.96829,                0.66954,                 1.1361,                0.50787,                0.99716,              0.0020305,              0.0020305,              0.0020305
                    163,                 1.1527,                0.61401,                 1.0196,                0.93681,                0.92517,                0.96852,                0.66962,                 1.1356,                 0.5075,                0.99699,               0.001981,               0.001981,               0.001981
                    164,                 1.1532,                0.61577,                 1.0191,                0.93763,                0.92507,                0.96867,                0.66983,                 1.1353,                0.50717,                0.99687,              0.0019315,              0.0019315,              0.0019315
                    165,                 1.1584,                 0.6173,                 1.0189,                0.93821,                0.92549,                0.96882,                0.67019,                 1.1346,                0.50682,                0.99658,               0.001882,               0.001882,               0.001882
                    166,                 1.1555,                 0.6168,                  1.017,                0.93802,                0.92561,                0.96897,                0.67061,                 1.1341,                0.50646,                 0.9963,              0.0018325,              0.0018325,              0.0018325
                    167,                  1.148,                0.61052,                 1.0176,                0.93805,                0.92605,                0.96898,                0.67081,                 1.1337,                0.50613,                0.99606,               0.001783,               0.001783,               0.001783
                    168,                 1.1517,                0.61279,                 1.0157,                0.94011,                0.92152,                0.96892,                0.67101,                 1.1336,                0.50592,                0.99595,              0.0017335,              0.0017335,              0.0017335
                    169,                 1.1471,                0.60833,                 1.0144,                0.94038,                 0.9211,                  0.969,                 0.6713,                 1.1332,                0.50558,                 0.9957,               0.001684,               0.001684,               0.001684
                    170,                  1.143,                0.60892,                 1.0148,                0.94118,                0.92006,                  0.969,                0.67138,                 1.1327,                0.50525,                0.99545,              0.0016345,              0.0016345,              0.0016345
                    171,                 1.1414,                 0.6082,                 1.0116,                0.94212,                0.92027,                0.96921,                0.67148,                 1.1325,                  0.505,                0.99524,               0.001585,               0.001585,               0.001585
                    172,                 1.1407,                0.60629,                 1.0134,                0.94216,                0.92027,                0.96932,                0.67166,                 1.1321,                0.50472,                  0.995,              0.0015355,              0.0015355,              0.0015355
                    173,                 1.1385,                0.60394,                 1.0133,                 0.9427,                0.92035,                0.96958,                0.67138,                 1.1316,                0.50435,                 0.9947,               0.001486,               0.001486,               0.001486
                    174,                 1.1387,                0.60676,                 1.0126,                0.94412,                0.92044,                0.96967,                0.67192,                  1.131,                 0.5041,                0.99446,              0.0014365,              0.0014365,              0.0014365
                    175,                 1.1348,                0.60248,                 1.0092,                0.94422,                0.92048,                0.96968,                0.67197,                 1.1305,                0.50374,                0.99418,               0.001387,               0.001387,               0.001387
                    176,                 1.1382,                0.60567,                 1.0109,                0.94393,                0.92057,                0.96944,                0.67228,                 1.1301,                0.50338,                 0.9939,              0.0013375,              0.0013375,              0.0013375
                    177,                 1.1309,                0.59959,                 1.0093,                0.94456,                  0.921,                0.96978,                0.67274,                 1.1297,                0.50314,                 0.9937,               0.001288,               0.001288,               0.001288
                    178,                 1.1318,                0.59947,                  1.011,                0.94495,                 0.9211,                0.96995,                0.67322,                 1.1293,                0.50286,                0.99354,              0.0012385,              0.0012385,              0.0012385
                    179,                 1.1231,                0.59502,                  1.008,                0.94509,                 0.9211,                0.96991,                0.67341,                 1.1291,                0.50258,                0.99336,               0.001189,               0.001189,               0.001189
                    180,                 1.1249,                 0.5947,                  1.008,                0.94515,                0.92081,                 0.9699,                0.67381,                 1.1287,                 0.5022,                0.99316,              0.0011395,              0.0011395,              0.0011395
                    181,                 1.1289,                0.59652,                 1.0093,                0.94584,                 0.9211,                0.96983,                0.67409,                 1.1283,                0.50188,                0.99296,                0.00109,                0.00109,                0.00109
                    182,                 1.1207,                0.59259,                 1.0081,                0.94656,                0.92131,                 0.9698,                0.67396,                 1.1279,                0.50147,                0.99275,              0.0010405,              0.0010405,              0.0010405
                    183,                 1.1187,                0.59121,                 1.0056,                0.94666,                0.92152,                0.96981,                0.67433,                 1.1275,                 0.5012,                0.99251,               0.000991,               0.000991,               0.000991
                    184,                 1.1158,                0.58987,                 1.0048,                0.94703,                0.92173,                0.96984,                0.67441,                 1.1272,                0.50093,                0.99239,              0.0009415,              0.0009415,              0.0009415
                    185,                 1.1203,                0.59305,                 1.0068,                0.94701,                0.92152,                0.96989,                0.67474,                 1.1266,                0.50052,                0.99215,               0.000892,               0.000892,               0.000892
                    186,                 1.1159,                0.59139,                 1.0064,                0.94648,                 0.9211,                0.96998,                0.67502,                 1.1262,                0.50002,                0.99195,              0.0008425,              0.0008425,              0.0008425
                    187,                 1.1099,                0.58666,                 1.0036,                0.94621,                0.92152,                0.97008,                0.67545,                 1.1257,                 0.4996,                0.99177,               0.000793,               0.000793,               0.000793
                    188,                 1.1146,                 0.5881,                 1.0039,                0.94653,                0.92215,                0.97017,                 0.6754,                 1.1254,                0.49928,                0.99152,              0.0007435,              0.0007435,              0.0007435
                    189,                 1.1095,                0.58452,                 1.0038,                0.94669,                0.92235,                0.97013,                0.67552,                  1.125,                0.49892,                0.99131,               0.000694,               0.000694,               0.000694
                    190,                 1.1062,                0.58148,                 1.0012,                0.94835,                0.92048,                0.97015,                0.67549,                 1.1247,                0.49862,                0.99118,              0.0006445,              0.0006445,              0.0006445
                    191,                 1.1048,                0.58228,                 1.0016,                0.94868,                0.92006,                0.97021,                0.67543,                 1.1244,                0.49836,                0.99097,               0.000595,               0.000595,               0.000595
                    192,                 1.1016,                0.58006,                 1.0002,                0.94837,                0.92012,                0.97032,                0.67623,                  1.124,                0.49805,                0.99074,              0.0005455,              0.0005455,              0.0005455
                    193,                 1.0999,                0.58135,                 1.0007,                0.94863,                0.92089,                0.97043,                 0.6761,                 1.1238,                0.49772,                0.99063,               0.000496,               0.000496,               0.000496
                    194,                 1.1004,                0.57925,                0.99978,                0.94833,                0.92089,                0.97059,                0.67626,                 1.1235,                0.49749,                0.99051,              0.0004465,              0.0004465,              0.0004465
                    195,                 1.0985,                0.57985,                0.99828,                0.94906,                0.92048,                0.97064,                0.67661,                 1.1233,                0.49725,                0.99038,               0.000397,               0.000397,               0.000397
                    196,                 1.1009,                0.58126,                 1.0015,                0.94921,                0.92027,                0.97061,                 0.6764,                  1.123,                0.49704,                0.99018,              0.0003475,              0.0003475,              0.0003475
                    197,                 1.0976,                 0.5772,                0.99933,                0.94943,                0.92097,                0.97065,                0.67663,                 1.1228,                0.49677,                0.99012,               0.000298,               0.000298,               0.000298
                    198,                 1.0378,                0.50504,                0.97673,                0.95001,                0.92027,                0.97068,                0.67701,                 1.1218,                 0.4964,                0.98974,              0.0002485,              0.0002485,              0.0002485
                    199,                 1.0223,                0.49426,                0.97065,                0.95089,                0.92006,                0.97062,                0.67741,                 1.1209,                0.49595,                0.98933,               0.000199,               0.000199,               0.000199
                    200,                 1.0206,                0.48907,                0.96822,                0.95166,                0.92042,                0.97075,                0.67803,                 1.1199,                0.49544,                0.98897,              0.0001495,              0.0001495,              0.0001495
