                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3934,                0.80752,                 1.1128,                0.91385,                0.89005,                  0.945,                0.59881,                  1.303,                0.63546,                 1.0745,               0.008317,               0.008317,               0.008317
                     36,                 1.3881,                0.80026,                 1.1112,                0.91335,                0.86725,                0.93397,                0.57994,                 1.3328,                0.65581,                 1.0931,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.3853,                0.79937,                 1.1122,                0.93317,                0.88315,                0.94989,                0.61343,                 1.2668,                0.61637,                  1.065,               0.008218,               0.008218,               0.008218
                     38,                 1.3786,                0.79543,                 1.1081,                0.92245,                 0.8804,                0.94384,                0.59829,                 1.3042,                0.63272,                 1.0807,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.3769,                0.79391,                 1.1068,                0.92951,                0.88897,                0.95153,                0.61679,                 1.2604,                0.61309,                 1.0564,               0.008119,               0.008119,               0.008119
                     40,                 1.3739,                0.78618,                 1.1067,                0.91925,                0.89339,                0.95111,                0.61297,                 1.2643,                0.61398,                 1.0603,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.3677,                0.78814,                 1.1059,                0.93197,                0.88499,                0.95091,                0.61708,                 1.2611,                 0.6034,                 1.0555,                0.00802,                0.00802,                0.00802
                     42,                 1.3695,                 0.7811,                 1.1043,                0.92056,                0.89919,                0.95089,                0.61737,                 1.2506,                0.59905,                 1.0559,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.3641,                0.77875,                 1.1019,                0.92243,                0.89689,                0.95103,                0.61943,                 1.2451,                0.59977,                 1.0527,               0.007921,               0.007921,               0.007921
                     44,                 1.3639,                0.77586,                 1.1019,                 0.9239,                0.89334,                0.95254,                0.61709,                 1.2542,                0.59816,                 1.0559,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.3649,                0.78373,                 1.1039,                0.92127,                0.89387,                0.95094,                0.61616,                 1.2524,                0.59691,                 1.0552,               0.007822,               0.007822,               0.007822
                     46,                 1.3551,                0.77118,                 1.0988,                  0.928,                0.89689,                0.95406,                0.62362,                 1.2418,                0.58943,                 1.0488,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.3599,                0.77759,                 1.0983,                0.92315,                0.90106,                0.95393,                0.62352,                 1.2446,                0.59136,                 1.0487,               0.007723,               0.007723,               0.007723
                     48,                 1.3531,                0.76807,                  1.096,                 0.9214,                0.90291,                0.95391,                  0.621,                  1.251,                0.59277,                 1.0502,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.3468,                0.76525,                 1.0939,                0.92454,                0.90211,                0.95484,                0.62427,                  1.237,                0.58977,                 1.0455,               0.007624,               0.007624,               0.007624
                     50,                 1.3499,                0.76956,                  1.096,                0.92915,                 0.8978,                0.95643,                0.62374,                 1.2369,                 0.5865,                 1.0455,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.3446,                0.76359,                 1.0926,                0.92437,                 0.9019,                0.95636,                0.62499,                 1.2318,                0.58535,                 1.0422,               0.007525,               0.007525,               0.007525
                     52,                 1.3399,                0.76314,                 1.0922,                0.93005,                0.90189,                0.95599,                  0.625,                 1.2288,                0.58392,                 1.0397,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.3357,                0.75862,                 1.0914,                0.93298,                0.89898,                0.95628,                0.62782,                 1.2254,                0.57984,                 1.0387,               0.007426,               0.007426,               0.007426
                     54,                 1.3355,                0.75668,                 1.0915,                0.93563,                0.90111,                0.95579,                0.63109,                 1.2206,                0.57638,                 1.0369,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.3359,                0.75395,                 1.0887,                0.93651,                0.89895,                0.95752,                0.63293,                 1.2185,                0.57497,                 1.0367,               0.007327,               0.007327,               0.007327
                     56,                 1.3312,                0.74949,                 1.0824,                0.93065,                0.90194,                0.95767,                0.63563,                 1.2134,                0.57081,                 1.0337,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.3317,                0.75242,                 1.0886,                0.93142,                0.90127,                0.95829,                0.63513,                 1.2123,                0.57002,                 1.0339,               0.007228,               0.007228,               0.007228
                     58,                  1.327,                0.74751,                 1.0848,                0.92593,                  0.908,                0.95802,                0.63608,                 1.2109,                0.56986,                 1.0324,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.3229,                0.74474,                 1.0856,                0.92659,                0.90753,                0.95836,                0.63727,                 1.2091,                0.56827,                 1.0316,               0.007129,               0.007129,               0.007129
                     60,                 1.3182,                0.74637,                 1.0834,                0.93385,                0.90232,                0.95791,                0.63806,                 1.2053,                0.56637,                 1.0306,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.3196,                0.74282,                 1.0823,                0.92803,                0.90566,                0.95782,                0.63853,                 1.2038,                0.56567,                 1.0298,                0.00703,                0.00703,                0.00703
                     62,                 1.3211,                0.74109,                 1.0817,                0.92745,                 0.9067,                0.95923,                0.63939,                 1.2006,                0.56397,                 1.0287,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.3204,                0.74509,                 1.0815,                0.92938,                0.90816,                0.95974,                0.63956,                  1.201,                0.56362,                  1.029,               0.006931,               0.006931,               0.006931
                     64,                 1.3122,                 0.7387,                 1.0799,                0.93077,                0.90566,                0.95939,                0.64118,                 1.1983,                0.56261,                 1.0279,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.3131,                0.73689,                 1.0795,                 0.9328,                 0.9042,                0.95931,                0.64131,                 1.1977,                0.56215,                 1.0284,               0.006832,               0.006832,               0.006832
                     66,                 1.3041,                0.73372,                 1.0738,                0.93292,                0.90563,                0.95971,                0.64096,                 1.1974,                0.56115,                  1.028,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.3085,                0.73133,                 1.0785,                0.93079,                0.90753,                0.96049,                0.64077,                 1.1973,                0.55997,                 1.0282,               0.006733,               0.006733,               0.006733
                     68,                 1.3084,                0.72913,                 1.0807,                0.92986,                0.90795,                0.96101,                0.64152,                 1.1958,                0.55848,                 1.0279,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.3087,                0.73131,                 1.0767,                0.93149,                0.90816,                0.96112,                0.64211,                 1.1953,                0.55742,                 1.0278,               0.006634,               0.006634,               0.006634
                     70,                 1.3032,                0.72792,                 1.0742,                0.93295,                0.90566,                0.96075,                0.64189,                 1.1948,                0.55656,                 1.0275,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.3076,                0.72961,                 1.0773,                0.93273,                0.90589,                0.96115,                0.64312,                 1.1931,                 0.5557,                 1.0269,               0.006535,               0.006535,               0.006535
                     72,                 1.3006,                 0.7231,                  1.072,                0.93834,                0.90213,                 0.9611,                0.64326,                 1.1927,                0.55474,                 1.0265,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.2969,                0.72481,                 1.0708,                0.93662,                0.90482,                0.96158,                0.64337,                 1.1935,                0.55447,                 1.0268,               0.006436,               0.006436,               0.006436
                     74,                 1.2927,                0.72027,                 1.0698,                0.93578,                0.90503,                0.96169,                0.64426,                 1.1927,                0.55351,                 1.0263,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.2936,                0.72122,                 1.0713,                 0.9368,                0.90344,                0.96164,                0.64465,                 1.1923,                 0.5528,                 1.0262,               0.006337,               0.006337,               0.006337
                     76,                 1.2928,                0.72048,                 1.0677,                0.93697,                0.90524,                0.96191,                0.64478,                 1.1918,                0.55219,                 1.0259,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.2833,                0.71323,                 1.0672,                0.93654,                0.90566,                0.96193,                 0.6461,                 1.1904,                0.55147,                 1.0253,               0.006238,               0.006238,               0.006238
                     78,                 1.2917,                0.71833,                 1.0698,                0.93735,                0.90561,                0.96194,                0.64651,                 1.1895,                0.55089,                 1.0248,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.2893,                 0.7146,                 1.0681,                0.93814,                0.90535,                0.96212,                0.64705,                 1.1888,                 0.5504,                 1.0244,               0.006139,               0.006139,               0.006139
                     80,                 1.2875,                0.71598,                 1.0689,                0.93775,                0.90555,                0.96225,                0.64725,                 1.1876,                0.54959,                 1.0238,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.2823,                0.71543,                 1.0656,                0.93755,                0.90558,                0.96217,                0.64757,                 1.1861,                0.54894,                 1.0232,                0.00604,                0.00604,                0.00604
                     82,                 1.2732,                0.71033,                  1.064,                0.93859,                0.90605,                0.96221,                0.64786,                  1.185,                0.54839,                 1.0228,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.2865,                0.71155,                 1.0675,                0.93914,                 0.9067,                0.96307,                0.64813,                 1.1839,                0.54788,                 1.0223,               0.005941,               0.005941,               0.005941
